gene_id	gene_name	SRR29279085	SRR29279086	SRR29279087	SRR29279088	SRR29279093	SRR29279094	SRR29279095	SRR29279096	SRR29279101	SRR29279102	SRR29279103	SRR29279104	SRR29279109	SRR29279110	SRR29279111	SRR29279112	SRR29279117	SRR29279118	SRR29279119	SRR29279120	SRR29279125	SRR29279126	SRR29279127	SRR29279128	SRR29279133	SRR29279134	SRR29279135	SRR29279136	SRR29279141	SRR29279142	SRR29279143	SRR29279144	SRR29279149	SRR29279150	SRR29279151	SRR29279152	SRR29279157	SRR29279158	SRR29279159	SRR29279160	SRR29279161	SRR29279162	SRR29279163	SRR29279164	SRR29279165	SRR29279166	SRR29279167	SRR29279168	SRR29279169	SRR29279170	SRR29279171	SRR29279172	SRR29279173	SRR29279174	SRR29279175	SRR29279176	SRR29279177	SRR29279178	SRR29279179	SRR29279180
C1_00560W_A	CNS1	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923	923
C1_00570C_A	C1_00570C_A	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135	2135
C1_00580W_A	C1_00580W_A	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680	680
C1_00590W_A	TUF1	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031	1031
C1_00600W_A	APC1	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358	4358
C1_00610W_A	PSD1	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523	1523
C1_00620W_A	MOB2	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692	692
C1_00630W_A	C1_00630W_A	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496	1496
C1_00640C_A	RPO41	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653	3653
C1_00650C_A	SNF7	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431	431
C1_00660C_A	C1_00660C_A	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764	764
