transcript_id	gene_id	gene_name
C1_03560C_A-T	C1_03560C_A	SUA71
C1_06550W_A-T	C1_06550W_A	GLT1
C1_07150W_A-T	C1_07150W_A	C1_07150W_A
C1_00440W_A-T	C1_00440W_A	UBP6
C1_05580W_A-T	C1_05580W_A	tN(GUU)1
C1_06330W_A-T	C1_06330W_A	C1_06330W_A
C1_06640C_A-T	C1_06640C_A	C1_06640C_A
C1_08980C_A-T	C1_08980C_A	ZWF1
C1_09700W_A-T	C1_09700W_A	C1_09700W_A
C1_02230W_A-T	C1_02230W_A	SEP7
C1_12040W_A-T	C1_12040W_A	C1_12040W_A
C1_09660W_A-T	C1_09660W_A	DOA1
C1_10310W_A-T	C1_10310W_A	C1_10310W_A
C1_10650W_A-T	C1_10650W_A	APN2
C1_01770W_A-T	C1_01770W_A	MAK32
C1_02430C_A-T	C1_02430C_A	C1_02430C_A
C1_06260W_A-T	C1_06260W_A	PGA50
C1_02840W_A-T	C1_02840W_A	PDE2
C1_07690C_A-T	C1_07690C_A	C1_07690C_A
C1_06660W_A-T	C1_06660W_A	C1_06660W_A
C1_05940W_A-T	C1_05940W_A	PHO87
C1_09450C_A-T	C1_09450C_A	NUP188
C1_09540W_A-T	C1_09540W_A	C1_09540W_A
C1_13080W_A-T	C1_13080W_A	OP4
C1_07530W_A-T	C1_07530W_A	C1_07530W_A
C1_04000C_A-T	C1_04000C_A	KTR4
C1_09900W_A-T	C1_09900W_A	LIP3
C1_01570C_A-T	C1_01570C_A	RPB7
C1_09880C_A-T	C1_09880C_A	BUD31
C1_14280C_A-T	C1_14280C_A	NPL3
C1_05240C_A-T	C1_05240C_A	RPT1
C1_09590C_A-T	C1_09590C_A	LIP10
C1_03870C_A-T	C1_03870C_A	C1_03870C_A
C1_00720W_A-T	C1_00720W_A	tP(UGG)3
C1_05570W_A-T	C1_05570W_A	tN(GUU)2
C1_11050W_A-T	C1_11050W_A	C1_11050W_A
C1_06630W_A-T	C1_06630W_A	C1_06630W_A
C1_03340C_A-T	C1_03340C_A	SEC62
C1_04630C_A-T	C1_04630C_A	C1_04630C_A
C1_13150W_A-T	C1_13150W_A	C1_13150W_A
C1_09460W_A-T	C1_09460W_A	ERG12
C1_11960C_A-T	C1_11960C_A	C1_11960C_A
C1_00790W_A-T	C1_00790W_A	C1_00790W_A
C1_03910C_A-T	C1_03910C_A	C1_03910C_A
C1_12540W_A-T	C1_12540W_A	C1_12540W_A
C1_12460C_A-T	C1_12460C_A	C1_12460C_A
C1_05810W_A-T	C1_05810W_A	GIM5
