Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,experiment_group,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,stimulus,treatment
SRR29279107,RNA-Seq,76,83751772,PRJNA1120019,SAMN41673658,36769004,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",5,SRX24796379,uncalculated,uncalculated,missing,NextSeq 500,GSM8305584,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305584,Bone-marrow Macrophage,SRP511692,None,Vancomycin
SRR29279108,RNA-Seq,76,81295528,PRJNA1120019,SAMN41673658,35440434,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",5,SRX24796379,uncalculated,uncalculated,missing,NextSeq 500,GSM8305584,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305584,Bone-marrow Macrophage,SRP511692,None,Vancomycin
SRR29279110,RNA-Seq,76,80722260,PRJNA1120019,SAMN41673659,34989904,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",5,SRX24796378,uncalculated,uncalculated,missing,NextSeq 500,GSM8305583,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305583,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279111,RNA-Seq,76,82824344,PRJNA1120019,SAMN41673659,36146532,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",5,SRX24796378,uncalculated,uncalculated,missing,NextSeq 500,GSM8305583,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305583,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279112,RNA-Seq,76,80662752,PRJNA1120019,SAMN41673659,34917870,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",5,SRX24796378,uncalculated,uncalculated,missing,NextSeq 500,GSM8305583,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305583,Bone-marrow Macrophage,SRP511692,Candida albicans,Untreated (control)
SRR29279114,RNA-Seq,76,86598276,PRJNA1120019,SAMN41673660,37543787,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",5,SRX24796377,uncalculated,uncalculated,missing,NextSeq 500,GSM8305582,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305582,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279115,RNA-Seq,76,88901760,PRJNA1120019,SAMN41673660,38839263,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",5,SRX24796377,uncalculated,uncalculated,missing,NextSeq 500,GSM8305582,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305582,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279116,RNA-Seq,76,86289184,PRJNA1120019,SAMN41673660,37411874,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",5,SRX24796377,uncalculated,uncalculated,missing,NextSeq 500,GSM8305582,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:31:00Z,1,GSM8305582,Bone-marrow Macrophage,SRP511692,None,Untreated (control)
SRR29279118,RNA-Seq,76,115203992,PRJNA1120019,SAMN41673661,49692036,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",4,SRX24796376,uncalculated,uncalculated,missing,NextSeq 500,GSM8305581,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305581,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279119,RNA-Seq,76,117887172,PRJNA1120019,SAMN41673661,51182641,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",4,SRX24796376,uncalculated,uncalculated,missing,NextSeq 500,GSM8305581,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305581,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279120,RNA-Seq,76,115057996,PRJNA1120019,SAMN41673661,49566837,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",4,SRX24796376,uncalculated,uncalculated,missing,NextSeq 500,GSM8305581,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305581,Bone-marrow Macrophage,SRP511692,Candida albicans,Vancomycin
SRR29279122,RNA-Seq,76,95768892,PRJNA1120019,SAMN41673662,41502405,Bone-marrow Macrophage,UNIVERSITY OF BIRMINGHAM,missing,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",4,SRX24796375,uncalculated,uncalculated,missing,NextSeq 500,GSM8305580,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2025-07-01T00:00:00Z,2024-06-04T15:32:00Z,1,GSM8305580,Bone-marrow Macrophage,SRP511692,None,Vancomycin
